relationship_id,start_id,end_id,relationship_type,predicate_zh,start_name,end_name,source
core_rel_107,entity_person_001,dynasty_qing,ACTIVE_IN,活跃于,陈兰彬,清代,广东民间工艺博物馆官网
core_rel_108,entity_person_002,dynasty_qing,ACTIVE_IN,活跃于,陈瑞南,清代,广东民间工艺博物馆官网
core_rel_109,entity_person_003,dynasty_qing,ACTIVE_IN,活跃于,陈照南,清代,广东民间工艺博物馆官网
core_rel_110,entity_person_004,dynasty_minguo,ACTIVE_IN,活跃于,陈济棠,民国,广东民间工艺博物馆官网
core_rel_111,entity_person_014,dynasty_qing,ACTIVE_IN,活跃于,陈伯陶,清代,广东民间工艺博物馆官网
core_rel_112,entity_person_015,dynasty_modern,ACTIVE_IN,活跃于,郭沫若,近现代,广东民间工艺博物馆官网
new_rel_person_00262,entity_person_026,dynasty_qing,ACTIVE_IN,活跃于,区大,清代,广东民间工艺博物馆官网
new_rel_person_00264,entity_person_027,dynasty_qing,ACTIVE_IN,活跃于,可松,清代,广东民间工艺博物馆官网
new_rel_person_00266,entity_person_030,dynasty_contemporary,ACTIVE_IN,活跃于,张兆棠,当代,广东民间工艺博物馆官网
new_rel_person_00268,entity_person_031,dynasty_contemporary,ACTIVE_IN,活跃于,李善发,当代,广东民间工艺博物馆官网
new_rel_person_00270,entity_person_032,dynasty_contemporary,ACTIVE_IN,活跃于,杨永雄,当代,广东民间工艺博物馆官网
new_rel_person_00272,entity_person_033,dynasty_contemporary,ACTIVE_IN,活跃于,杨锐华,当代,广东民间工艺博物馆官网
new_rel_person_00274,entity_person_034,dynasty_contemporary,ACTIVE_IN,活跃于,王龙才,当代,广东民间工艺博物馆官网
new_rel_person_00276,entity_person_035,dynasty_contemporary,ACTIVE_IN,活跃于,罗树添,当代,广东民间工艺博物馆官网
new_rel_person_00278,entity_person_036,dynasty_contemporary,ACTIVE_IN,活跃于,钟汝荣,当代,广东民间工艺博物馆官网
new_rel_person_00280,entity_person_038,dynasty_contemporary,ACTIVE_IN,活跃于,蔡映波,当代,广东民间工艺博物馆官网
new_rel_person_00282,entity_person_039,dynasty_contemporary,ACTIVE_IN,活跃于,吴棠昌,当代,广东民间工艺博物馆官网
new_rel_person_00284,entity_person_040,dynasty_contemporary,ACTIVE_IN,活跃于,冯公侠,当代,广东民间工艺博物馆官网
new_rel_person_00286,entity_person_041,dynasty_contemporary,ACTIVE_IN,活跃于,刘演良,当代,广东民间工艺博物馆官网
new_rel_person_00288,entity_person_042,dynasty_contemporary,ACTIVE_IN,活跃于,吕尚志,当代,广东民间工艺博物馆官网
new_rel_person_00290,entity_person_043,dynasty_qing,ACTIVE_IN,活跃于,啸崖氏,清代,广东民间工艺博物馆官网
new_rel_person_00292,entity_person_044,dynasty_qing,ACTIVE_IN,活跃于,张廷济（疑托名）,清代,广东民间工艺博物馆官网
new_rel_person_00294,entity_person_045,dynasty_qing,ACTIVE_IN,活跃于,张春雷,清代,广东民间工艺博物馆官网
new_rel_person_00296,entity_person_046,dynasty_qing,ACTIVE_IN,活跃于,未注明（托名屈大均）,清代,广东民间工艺博物馆官网
new_rel_person_00298,entity_person_047,dynasty_qing,ACTIVE_IN,活跃于,未注明（疑为仿黄任）,清代,广东民间工艺博物馆官网
new_rel_person_00300,entity_person_048,dynasty_qing,ACTIVE_IN,活跃于,未注明（纪晓岚铭）,清代,广东民间工艺博物馆官网
new_rel_person_00302,entity_person_049,dynasty_qing,ACTIVE_IN,活跃于,李祖彬等,清代,广东民间工艺博物馆官网
new_rel_person_00304,entity_person_050,dynasty_qing,ACTIVE_IN,活跃于,林梦椿（疑）,清代,广东民间工艺博物馆官网
new_rel_person_00306,entity_person_051,dynasty_qing,ACTIVE_IN,活跃于,梁焕明,清代,广东民间工艺博物馆官网
new_rel_person_00308,entity_person_052,dynasty_qing,ACTIVE_IN,活跃于,汪启淑,清代,广东民间工艺博物馆官网
new_rel_person_00310,entity_person_053,dynasty_qing,ACTIVE_IN,活跃于,沈叔坚,清代,广东民间工艺博物馆官网
new_rel_person_00312,entity_person_054,dynasty_qing,ACTIVE_IN,活跃于,沈廷芳,清代,广东民间工艺博物馆官网
new_rel_person_00314,entity_person_055,dynasty_qing,ACTIVE_IN,活跃于,王浸大,清代,广东民间工艺博物馆官网
new_rel_person_00316,entity_person_056,dynasty_qing,ACTIVE_IN,活跃于,罗海,清代,广东民间工艺博物馆官网
relgen_973841c3c4182c502faf,entity_JZ_MD_001,entity_theme_001,BASED_ON,取材于,曹操大宴铜雀台,三国演义,广东民间工艺博物馆官网
relgen_2c98f59cd14005aa063d,entity_JZ_MD_002,entity_theme_004,BASED_ON,取材于,程咬金贺寿,隋唐演义,广东民间工艺博物馆官网
relgen_8d72bdac3a76a45ca09b,entity_JZ_MD_002,work_薛刚反唐,BASED_ON,取材于,程咬金贺寿,薛刚反唐,广东民间工艺博物馆官网
relgen_e29dee951399adcd85d8,entity_JZ_MD_003,entity_theme_003,BASED_ON,取材于,摘星楼胶鬲死节,封神演义,广东民间工艺博物馆官网
relgen_3c8d853a98cb11b2147f,entity_JZ_MD_007,work_薛刚反唐,BASED_ON,取材于,薛刚叙唐,薛刚反唐,广东民间工艺博物馆官网
relgen_7b6419714e69b2f4669b,entity_JZ_MD_010,entity_theme_005,BASED_ON,取材于,西天取经,西游记,广东民间工艺博物馆官网
relgen_7e0bb18297c80d721b87,entity_JZ_MD_020,entity_theme_003,BASED_ON,取材于,渭水访贤,封神演义,广东民间工艺博物馆官网
relgen_8b841057e9b57886d378,entity_JZ_MD_021,entity_theme_001,BASED_ON,取材于,三英战吕布,三国演义,广东民间工艺博物馆官网
relgen_e4c92b0b2185e645d090,entity_JZ_MD_022,entity_theme_001,BASED_ON,取材于,赤壁之战,三国演义,广东民间工艺博物馆官网
relgen_753bf935287db1abd910,entity_JZ_MD_023,work_说岳全传,BASED_ON,取材于,岳飞大破金兵,说岳全传,广东民间工艺博物馆官网
relgen_5433f3447c5a5f5eb5a9,entity_JZ_MD_025,entity_theme_004,BASED_ON,取材于,太白退蕃书,隋唐演义,广东民间工艺博物馆官网
relgen_8359bf675b94084a4f2f,entity_JZ_MD_026,entity_theme_002,BASED_ON,取材于,拳打镇关西,水浒传,广东民间工艺博物馆官网
relgen_d3602060f4200e05c644,entity_JZ_MD_027,entity_theme_002,BASED_ON,取材于,三打祝家庄,水浒传,广东民间工艺博物馆官网
relgen_ad3dc58635e7649a835e,entity_JZ_MD_028,entity_theme_001,BASED_ON,取材于,长坂坡救阿斗,三国演义,广东民间工艺博物馆官网
relgen_29a5c55b5ac5064e4eed,entity_JZ_MD_029,entity_theme_001,BASED_ON,取材于,三顾茅庐,三国演义,广东民间工艺博物馆官网
relgen_d49e8155c6568bddeef5,entity_JZ_SD_029,entity_theme_001,BASED_ON,取材于,赵颜求寿,三国演义,广东民间工艺博物馆官网
relgen_e4706a740eb01da9920a,entity_JZ_SD_040,entity_theme_003,BASED_ON,取材于,渭水访贤,封神演义,广东民间工艺博物馆官网
relgen_daff003c852299b29e44,entity_JZ_SD_041,entity_theme_001,BASED_ON,取材于,孔明智收姜维,三国演义,广东民间工艺博物馆官网
relgen_7c9a8d62da0d7fb1b2e4,entity_JZ_SD_043,entity_theme_004,BASED_ON,取材于,太白退番书,隋唐演义,广东民间工艺博物馆官网
relgen_ca3becc909fba5d5a316,entity_JZ_SD_045,work_韩非子,BASED_ON,取材于,曾子杀猪,韩非子,广东民间工艺博物馆官网
relgen_c4989b833e394f2efb71,entity_JZ_SD_048,entity_theme_001,BASED_ON,取材于,张飞夜战马超,三国演义,广东民间工艺博物馆官网
relgen_954af07b2f4317fef4f7,entity_JZ_SD_049,entity_theme_006,BASED_ON,取材于,穆桂英挂帅,杨家将,广东民间工艺博物馆官网
relgen_2bfba5bcdbd015fc4623,entity_JZ_SD_050,entity_theme_001,BASED_ON,取材于,三英战吕布,三国演义,广东民间工艺博物馆官网
relgen_c605431d184155f0f214,entity_JZ_ZD_004,entity_theme_002,BASED_ON,取材于,梁山聚义,水浒传,广东民间工艺博物馆官网
relgen_d88d72b8af17612c13da,entity_JZ_ZD_020,entity_theme_001,BASED_ON,取材于,舌战群儒,三国演义,广东民间工艺博物馆官网
relgen_3b24fa3c277ac2af757a,entity_JZ_ZD_028,entity_theme_001,BASED_ON,取材于,群英会,三国演义,广东民间工艺博物馆官网
relgen_434d56c6daf1ecd52b3c,entity_JZ_ZD_038,entity_theme_001,BASED_ON,取材于,大宴铜雀台,三国演义,广东民间工艺博物馆官网
relgen_ef73935e5fc752422ef8,entity_JZ_ZD_039,entity_theme_001,BASED_ON,取材于,甘露寺,三国演义,广东民间工艺博物馆官网
relgen_ee26b52ab28f92ffaac1,entity_JZ_TS_003,entity_theme_006,BASED_ON,取材于,六郎斩子,杨家将,广东民间工艺博物馆官网
relgen_ae29b7b9cb351366c3a3,entity_JZ_TS_004,entity_theme_006,BASED_ON,取材于,四郎探母,杨家将,广东民间工艺博物馆官网
relgen_ebe30d6a2e7fb098aff2,entity_JZ_TS_006,work_晋中兴书,BASED_ON,取材于,羲之换鹅（羲之爱鹅、写经换鹅）,晋中兴书,广东民间工艺博物馆官网
relgen_3aefc118be817c56b2fa,entity_JZ_TS_007,entity_theme_001,BASED_ON,取材于,刘备过江招亲,三国演义,广东民间工艺博物馆官网
relgen_861291cf86a8b73ccd91,entity_JZ_TS_008,entity_theme_003,BASED_ON,取材于,武王伐纣,封神演义,广东民间工艺博物馆官网
